Date,Year,Month,Region,ESG_Category,Current_Score,Industry_Average,Target_Score,Improvement_Rate_per_Month,Investment_Allocation_USD,Initiatives_Count
2022-02-01,2022,2,Latin America,Water Stewardship,80.4,71.7,94.5,0.27,34697.0,8
2022-02-01,2022,2,Latin America,Waste Management,76.5,71.3,95.0,0.18,44005.0,7
2022-02-01,2022,2,Latin America,Supply Chain,70.0,60.2,75.0,0.23,49648.0,5
2022-02-01,2022,2,Latin America,Employee Wellbeing,90.2,77.3,95.0,0.15,65249.0,3
2022-02-01,2022,2,Latin America,Community Impact,69.4,67.2,84.6,0.03,45975.0,10
2022-02-01,2022,2,Latin America,Governance,89.5,81.3,95.0,0.21,67792.0,8
2022-02-01,2022,2,Latin America,Innovation,74.2,66.1,91.7,0.22,70779.0,7
2022-02-01,2022,2,Middle East & Africa,Carbon Footprint,64.5,61.2,82.0,0.32,38567.0,8
2022-02-01,2022,2,Middle East & Africa,Water Stewardship,76.7,69.9,86.4,0.22,26443.0,5
2022-02-01,2022,2,Middle East & Africa,Waste Management,74.5,73.4,91.6,0.22,84041.0,11
2022-02-01,2022,2,Middle East & Africa,Supply Chain,72.4,61.9,84.5,0.19,50424.0,5
2022-02-01,2022,2,Middle East & Africa,Employee Wellbeing,83.3,76.4,95.0,0.24,64255.0,6
2022-02-01,2022,2,Middle East & Africa,Community Impact,72.8,67.0,90.9,0.41,78134.0,3
2022-02-01,2022,2,Middle East & Africa,Governance,87.9,79.2,95.0,0.35,46138.0,5
2022-02-01,2022,2,Middle East & Africa,Innovation,75.2,66.7,92.9,0.07,72226.0,3
2022-03-01,2022,3,North America,Carbon Footprint,72.1,63.6,83.8,0.29,25089.0,5
2022-03-01,2022,3,North America,Water Stewardship,78.0,69.7,90.5,0.16,67382.0,5
2022-03-01,2022,3,North America,Waste Management,84.5,75.4,95.0,0.17,74328.0,4
2022-03-01,2022,3,North America,Supply Chain,69.2,59.7,82.2,0.32,72327.0,6
2022-03-01,2022,3,North America,Employee Wellbeing,86.1,76.3,95.0,0.18,38709.0,10
2022-03-01,2022,3,North America,Community Impact,76.8,64.1,87.6,0.07,77696.0,3
2022-03-01,2022,3,North America,Governance,90.6,79.5,95.0,0.27,75528.0,7
2022-03-01,2022,3,North America,Innovation,77.0,69.0,87.4,0.25,81341.0,10
2022-03-01,2022,3,Europe,Carbon Footprint,79.4,60.9,91.5,0.08,84625.0,3
2022-03-01,2022,3,Europe,Water Stewardship,78.2,64.3,94.4,0.04,75038.0,5
2022-03-01,2022,3,Europe,Waste Management,86.2,70.8,90.2,0.19,82765.0,5
2022-03-01,2022,3,Europe,Supply Chain,76.8,61.4,88.4,0.13,59349.0,4
2022-03-01,2022,3,Europe,Employee Wellbeing,91.2,77.0,95.0,-0.07,65434.0,4
2022-03-01,2022,3,Europe,Community Impact,79.5,66.9,89.0,0.27,55694.0,11
2022-03-01,2022,3,Europe,Governance,93.5,74.2,95.0,0.14,31072.0,7
2022-03-01,2022,3,Europe,Innovation,84.1,65.2,93.3,0.1,36758.0,5
2022-03-01,2022,3,Asia Pacific,Carbon Footprint,67.4,66.4,86.0,0.17,46503.0,3
2022-03-01,2022,3,Asia Pacific,Water Stewardship,76.3,69.6,92.5,0.3,34430.0,8
2022-03-01,2022,3,Asia Pacific,Waste Management,77.0,70.9,95.0,0.21,44588.0,9
2022-03-01,2022,3,Asia Pacific,Supply Chain,64.6,57.9,82.9,0.05,50034.0,11
2022-03-01,2022,3,Asia Pacific,Employee Wellbeing,83.0,78.6,95.0,0.07,72525.0,3
2022-03-01,2022,3,Asia Pacific,Community Impact,68.2,64.8,87.0,0.18,82635.0,4
2022-03-01,2022,3,Asia Pacific,Governance,91.9,80.2,95.0,-0.0,25411.0,6
2022-03-01,2022,3,Asia Pacific,Innovation,75.4,72.7,94.0,0.16,55098.0,8
2022-03-01,2022,3,Latin America,Carbon Footprint,74.6,63.5,86.1,-0.02,46132.0,11
2022-03-01,2022,3,Latin America,Water Stewardship,78.6,70.5,91.8,0.23,26791.0,10
2022-03-01,2022,3,Latin America,Waste Management,86.2,72.8,94.5,0.19,29639.0,3
2022-03-01,2022,3,Latin America,Supply Chain,70.2,58.3,83.6,0.27,26965.0,8
2022-03-01,2022,3,Latin America,Employee Wellbeing,85.2,78.3,95.0,0.12,55333.0,5
2022-03-01,2022,3,Latin America,Community Impact,77.8,67.7,92.6,0.13,30910.0,9
2022-03-01,2022,3,Latin America,Governance,96.0,82.6,95.0,0.14,54647.0,7
2022-03-01,2022,3,Latin America,Innovation,69.0,64.1,95.0,0.07,42994.0,5
2022-03-01,2022,3,Middle East & Africa,Carbon Footprint,81.8,63.9,90.0,0.22,71149.0,3
2022-03-01,2022,3,Middle East & Africa,Water Stewardship,69.5,73.1,94.2,0.19,52408.0,9
2022-03-01,2022,3,Middle East & Africa,Waste Management,78.8,71.3,95.0,0.28,33430.0,8
2022-03-01,2022,3,Middle East & Africa,Supply Chain,65.9,57.9,86.5,0.04,29782.0,3
2022-03-01,2022,3,Middle East & Africa,Employee Wellbeing,90.8,79.6,95.0,0.16,78165.0,3
2022-03-01,2022,3,Middle East & Africa,Community Impact,69.5,65.9,92.2,0.32,73256.0,6
2022-03-01,2022,3,Middle East & Africa,Governance,92.1,79.6,95.0,0.35,84964.0,7
2022-03-01,2022,3,Middle East & Africa,Innovation,78.6,69.4,95.0,0.25,72917.0,8
2022-04-01,2022,4,North America,Carbon Footprint,80.5,62.8,86.4,0.1,77307.0,8
2022-04-01,2022,4,North America,Water Stewardship,74.8,72.3,91.6,0.15,45428.0,10
2022-04-01,2022,4,North America,Waste Management,75.0,73.5,94.6,0.32,44395.0,8
2022-04-01,2022,4,North America,Supply Chain,73.9,63.8,86.1,0.31,30232.0,5
2022-04-01,2022,4,North America,Employee Wellbeing,86.4,78.8,95.0,0.16,39943.0,6
2022-04-01,2022,4,North America,Community Impact,76.2,64.2,87.1,0.37,80938.0,11
2022-04-01,2022,4,North America,Governance,91.0,80.6,95.0,0.34,50247.0,5
2022-04-01,2022,4,North America,Innovation,74.7,65.0,89.2,0.04,43899.0,10
2022-04-01,2022,4,Europe,Carbon Footprint,78.4,64.1,88.7,-0.05,40411.0,11
2022-04-01,2022,4,Europe,Water Stewardship,85.2,67.6,94.2,0.33,29727.0,8
2022-04-01,2022,4,Europe,Waste Management,82.9,73.2,95.0,0.24,84188.0,6
2022-04-01,2022,4,Europe,Supply Chain,73.3,59.2,85.3,0.23,81286.0,11
2022-04-01,2022,4,Europe,Employee Wellbeing,95.8,79.2,95.0,0.26,53075.0,3
2022-04-01,2022,4,Europe,Community Impact,80.0,61.8,89.3,0.1,42649.0,4
2022-04-01,2022,4,Europe,Governance,93.5,77.3,95.0,0.22,56789.0,9
2022-04-01,2022,4,Europe,Innovation,82.9,65.3,86.5,0.26,65163.0,4
2022-04-01,2022,4,Asia Pacific,Carbon Footprint,76.4,65.9,88.7,0.23,81870.0,10
2022-04-01,2022,4,Asia Pacific,Water Stewardship,74.1,69.8,91.3,0.07,77055.0,7
2022-04-01,2022,4,Asia Pacific,Waste Management,72.4,74.8,95.0,0.24,43074.0,11
2022-04-01,2022,4,Asia Pacific,Supply Chain,65.8,59.1,83.1,0.21,58292.0,9
2022-04-01,2022,4,Asia Pacific,Employee Wellbeing,81.8,76.8,95.0,0.15,80414.0,10
2022-04-01,2022,4,Asia Pacific,Community Impact,74.2,64.0,86.1,0.14,71052.0,5
2022-04-01,2022,4,Asia Pacific,Governance,86.2,79.4,95.0,0.22,40820.0,6
2022-04-01,2022,4,Asia Pacific,Innovation,77.9,69.0,91.1,0.29,51991.0,9
2022-04-01,2022,4,Latin America,Carbon Footprint,69.1,65.3,82.6,0.2,78947.0,5
2022-04-01,2022,4,Latin America,Water Stewardship,77.7,72.4,90.8,0.27,70825.0,4
2022-04-01,2022,4,Latin America,Waste Management,77.5,72.0,95.0,0.21,70333.0,3
2022-04-01,2022,4,Latin America,Supply Chain,74.3,59.9,81.5,0.22,44538.0,8
2022-04-01,2022,4,Latin America,Employee Wellbeing,88.7,75.1,95.0,0.25,58024.0,10
2022-04-01,2022,4,Latin America,Community Impact,69.2,63.7,86.7,0.22,74960.0,11
2022-04-01,2022,4,Latin America,Governance,89.3,81.0,95.0,0.23,38405.0,3
2022-04-01,2022,4,Latin America,Innovation,80.2,66.5,95.0,0.26,66488.0,8
2022-04-01,2022,4,Middle East & Africa,Carbon Footprint,71.9,62.7,90.9,0.34,68701.0,7
2022-04-01,2022,4,Middle East & Africa,Water Stewardship,77.3,71.9,95.0,0.21,74994.0,8
2022-04-01,2022,4,Middle East & Africa,Waste Management,78.1,70.4,95.0,0.23,60139.0,3
2022-04-01,2022,4,Middle East & Africa,Supply Chain,69.6,56.9,85.1,0.24,83059.0,11
2022-04-01,2022,4,Middle East & Africa,Employee Wellbeing,91.2,76.6,95.0,0.2,81394.0,11
2022-04-01,2022,4,Middle East & Africa,Community Impact,73.1,65.6,94.3,0.08,73990.0,11
2022-04-01,2022,4,Middle East & Africa,Governance,89.6,80.1,95.0,0.26,63920.0,10
2022-04-01,2022,4,Middle East & Africa,Innovation,79.5,66.5,89.9,0.1,53957.0,9
2022-05-01,2022,5,North America,Carbon Footprint,71.6,65.2,90.3,0.13,49895.0,10
2022-05-01,2022,5,North America,Water Stewardship,84.5,68.9,95.0,0.2,44643.0,6
2022-05-01,2022,5,North America,Waste Management,77.8,74.0,89.2,0.23,40592.0,7
2022-05-01,2022,5,North America,Supply Chain,65.6,58.4,83.2,0.35,48086.0,10
2022-05-01,2022,5,North America,Employee Wellbeing,82.5,73.9,95.0,0.11,56445.0,3
2022-05-01,2022,5,North America,Community Impact,71.9,64.1,85.9,0.15,36708.0,11
2022-05-01,2022,5,North America,Governance,94.5,81.0,95.0,0.3,67245.0,8
2022-05-01,2022,5,North America,Innovation,78.1,67.4,88.2,0.12,30596.0,10
2022-05-01,2022,5,Europe,Carbon Footprint,81.3,63.8,82.9,-0.01,51901.0,8
2022-05-01,2022,5,Europe,Water Stewardship,81.0,72.5,89.4,0.25,58243.0,7
2022-05-01,2022,5,Europe,Waste Management,84.0,72.0,93.8,0.2,46155.0,8
2022-05-01,2022,5,Europe,Supply Chain,76.4,59.6,87.1,0.33,47466.0,3
2022-05-01,2022,5,Europe,Employee Wellbeing,94.4,79.0,92.6,0.29,57299.0,9
2022-05-01,2022,5,Europe,Community Impact,82.6,67.6,88.7,0.28,25871.0,8
2022-05-01,2022,5,Europe,Governance,91.1,80.3,95.0,0.11,67270.0,11
2022-05-01,2022,5,Europe,Innovation,86.7,70.3,87.2,0.14,36971.0,4
2022-05-01,2022,5,Asia Pacific,Carbon Footprint,68.2,64.7,84.4,0.13,67771.0,4
2022-05-01,2022,5,Asia Pacific,Water Stewardship,75.5,69.5,90.5,0.04,70229.0,3
2022-05-01,2022,5,Asia Pacific,Waste Management,84.3,71.4,95.0,0.28,59846.0,8
2022-05-01,2022,5,Asia Pacific,Supply Chain,66.4,58.8,80.1,0.31,83715.0,4
2022-05-01,2022,5,Asia Pacific,Employee Wellbeing,83.8,78.2,95.0,0.24,74904.0,6
2022-05-01,2022,5,Asia Pacific,Community Impact,70.0,65.2,90.2,0.19,41445.0,3
2022-05-01,2022,5,Asia Pacific,Governance,78.5,82.1,95.0,0.02,62295.0,6
2022-05-01,2022,5,Asia Pacific,Innovation,73.7,67.0,88.7,0.1,77985.0,6
2022-05-01,2022,5,Latin America,Carbon Footprint,73.7,65.2,92.3,0.14,76814.0,8
2022-05-01,2022,5,Latin America,Water Stewardship,76.1,70.4,95.0,0.17,52061.0,10
2022-05-01,2022,5,Latin America,Waste Management,89.0,68.7,95.0,0.05,38371.0,5
2022-05-01,2022,5,Latin America,Supply Chain,68.7,57.6,82.8,0.25,49224.0,5
2022-05-01,2022,5,Latin America,Employee Wellbeing,97.0,77.7,94.5,0.06,67026.0,11
2022-05-01,2022,5,Latin America,Community Impact,72.4,69.4,95.0,0.17,69559.0,9
2022-05-01,2022,5,Latin America,Governance,94.0,78.7,95.0,0.19,55139.0,11
2022-05-01,2022,5,Latin America,Innovation,76.2,67.6,86.4,0.0,31252.0,6
2022-05-01,2022,5,Middle East & Africa,Carbon Footprint,74.0,64.9,87.0,0.35,37370.0,7
2022-05-01,2022,5,Middle East & Africa,Water Stewardship,76.9,72.3,87.3,0.19,25663.0,8
2022-05-01,2022,5,Middle East & Africa,Waste Management,82.1,77.3,95.0,0.21,44012.0,7
2022-05-01,2022,5,Middle East & Africa,Supply Chain,63.6,61.3,83.5,0.23,28198.0,10
2022-05-01,2022,5,Middle East & Africa,Employee Wellbeing,84.9,77.0,95.0,0.09,35223.0,6
2022-05-01,2022,5,Middle East & Africa,Community Impact,70.3,67.4,87.5,0.26,27398.0,8
2022-05-01,2022,5,Middle East & Africa,Governance,83.8,79.2,95.0,0.26,81432.0,8
2022-05-01,2022,5,Middle East & Africa,Innovation,68.7,68.7,86.6,0.3,27233.0,9
2022-06-01,2022,6,North America,Carbon Footprint,75.0,60.3,89.2,0.3,45914.0,9
2022-06-01,2022,6,North America,Water Stewardship,79.7,71.4,95.0,0.24,75618.0,6
2022-06-01,2022,6,North America,Waste Management,85.0,71.7,92.6,0.13,63587.0,9
2022-06-01,2022,6,North America,Supply Chain,68.9,59.6,77.7,0.19,57767.0,4
2022-06-01,2022,6,North America,Employee Wellbeing,90.7,75.0,95.0,0.3,29491.0,9
2022-06-01,2022,6,North America,Community Impact,74.0,66.9,88.8,0.2,63178.0,10
2022-06-01,2022,6,North America,Governance,84.2,81.3,95.0,0.08,52364.0,6
2022-06-01,2022,6,North America,Innovation,75.6,69.0,87.3,0.26,55229.0,6
2022-06-01,2022,6,Europe,Carbon Footprint,76.4,68.2,81.3,0.2,27905.0,11
2022-06-01,2022,6,Europe,Water Stewardship,76.4,68.9,87.9,0.43,40329.0,3
2022-06-01,2022,6,Europe,Waste Management,85.8,69.7,95.0,0.26,41606.0,9
2022-06-01,2022,6,Europe,Supply Chain,78.5,62.0,82.3,0.29,39621.0,7
2022-06-01,2022,6,Europe,Employee Wellbeing,90.3,76.0,95.0,0.3,51201.0,5
2022-06-01,2022,6,Europe,Community Impact,75.7,63.4,85.5,0.21,70062.0,10
2022-06-01,2022,6,Europe,Governance,94.7,81.2,95.0,0.21,25777.0,8
2022-06-01,2022,6,Europe,Innovation,85.1,68.9,95.0,0.26,63330.0,4
2022-06-01,2022,6,Asia Pacific,Carbon Footprint,71.0,65.6,84.4,0.33,80154.0,7
2022-06-01,2022,6,Asia Pacific,Water Stewardship,77.2,70.2,93.7,0.27,34944.0,11
2022-06-01,2022,6,Asia Pacific,Waste Management,85.8,68.0,95.0,0.2,26669.0,11
2022-06-01,2022,6,Asia Pacific,Supply Chain,65.3,55.3,84.7,0.19,56281.0,3
2022-06-01,2022,6,Asia Pacific,Employee Wellbeing,81.8,73.5,95.0,0.26,66764.0,3
2022-06-01,2022,6,Asia Pacific,Community Impact,71.4,67.1,87.7,0.28,65985.0,7
2022-06-01,2022,6,Asia Pacific,Governance,84.2,78.6,95.0,0.13,63960.0,5
2022-06-01,2022,6,Asia Pacific,Innovation,60.7,65.6,86.0,0.21,57039.0,6
2022-06-01,2022,6,Latin America,Carbon Footprint,76.6,60.7,87.6,0.25,43189.0,8
2022-06-01,2022,6,Latin America,Water Stewardship,73.6,73.0,90.5,0.15,38043.0,8
2022-06-01,2022,6,Latin America,Waste Management,80.9,73.8,90.7,0.15,44353.0,5
2022-06-01,2022,6,Latin America,Supply Chain,74.7,62.8,83.8,0.25,34896.0,9
2022-06-01,2022,6,Latin America,Employee Wellbeing,87.9,74.4,95.0,0.19,43400.0,6
2022-06-01,2022,6,Latin America,Community Impact,72.1,67.3,92.7,0.2,37294.0,10
2022-06-01,2022,6,Latin America,Governance,81.7,78.2,95.0,0.21,27385.0,6
2022-06-01,2022,6,Latin America,Innovation,74.7,67.7,85.9,0.28,64100.0,7
2022-06-01,2022,6,Middle East & Africa,Carbon Footprint,70.7,63.0,85.3,0.15,53101.0,11
2022-06-01,2022,6,Middle East & Africa,Water Stewardship,81.9,70.9,93.1,0.24,39284.0,11
2022-06-01,2022,6,Middle East & Africa,Waste Management,84.8,73.3,95.0,0.24,58759.0,7
2022-06-01,2022,6,Middle East & Africa,Supply Chain,70.1,61.3,82.9,-0.03,63099.0,3
2022-06-01,2022,6,Middle East & Africa,Employee Wellbeing,81.7,75.3,95.0,0.28,57709.0,10
2022-06-01,2022,6,Middle East & Africa,Community Impact,70.7,64.3,88.3,0.22,35623.0,10
2022-06-01,2022,6,Middle East & Africa,Governance,90.1,80.9,95.0,0.03,66620.0,6
2022-06-01,2022,6,Middle East & Africa,Innovation,68.2,69.6,84.8,0.12,67811.0,7
2022-07-01,2022,7,North America,Carbon Footprint,73.3,63.6,84.2,0.25,43693.0,3
2022-07-01,2022,7,North America,Water Stewardship,77.8,71.4,95.0,0.11,36966.0,5
2022-07-01,2022,7,North America,Waste Management,81.9,73.8,95.0,-0.02,40644.0,8
2022-07-01,2022,7,North America,Supply Chain,66.3,60.4,82.7,0.29,36709.0,5
2022-07-01,2022,7,North America,Employee Wellbeing,84.9,79.0,95.0,0.21,64103.0,9
2022-07-01,2022,7,North America,Community Impact,77.3,62.6,90.3,0.18,32772.0,5
2022-07-01,2022,7,North America,Governance,88.5,78.7,95.0,0.18,80503.0,9
2022-07-01,2022,7,North America,Innovation,75.0,65.5,84.0,0.28,84950.0,5
2022-07-01,2022,7,Europe,Carbon Footprint,78.5,63.6,90.5,0.07,31279.0,7
2022-07-01,2022,7,Europe,Water Stewardship,86.8,65.5,95.0,0.28,56736.0,3
2022-07-01,2022,7,Europe,Waste Management,82.6,72.9,95.0,0.1,64420.0,5
2022-07-01,2022,7,Europe,Supply Chain,82.0,61.0,84.7,0.17,80672.0,9
2022-07-01,2022,7,Europe,Employee Wellbeing,90.5,79.7,95.0,0.23,44605.0,3
2022-07-01,2022,7,Europe,Community Impact,84.1,65.3,88.5,0.22,37885.0,6
2022-07-01,2022,7,Europe,Governance,98.0,82.1,95.0,0.09,60454.0,8
2022-07-01,2022,7,Europe,Innovation,85.4,70.3,92.4,0.12,35587.0,8
2022-07-01,2022,7,Asia Pacific,Carbon Footprint,67.8,64.6,87.5,0.25,31663.0,10
2022-07-01,2022,7,Asia Pacific,Water Stewardship,69.0,69.7,94.6,0.27,62383.0,11
2022-07-01,2022,7,Asia Pacific,Waste Management,76.7,73.0,94.1,0.29,50906.0,11
2022-07-01,2022,7,Asia Pacific,Supply Chain,63.1,62.2,84.7,0.41,31996.0,10
2022-07-01,2022,7,Asia Pacific,Employee Wellbeing,85.3,78.2,95.0,0.23,78034.0,6
2022-07-01,2022,7,Asia Pacific,Community Impact,72.5,67.0,94.4,0.12,67489.0,10
2022-07-01,2022,7,Asia Pacific,Governance,94.1,81.4,95.0,0.29,82289.0,10
2022-07-01,2022,7,Asia Pacific,Innovation,76.9,69.9,87.5,0.16,32570.0,10
2022-07-01,2022,7,Latin America,Carbon Footprint,81.1,60.1,86.7,0.21,70836.0,7
2022-07-01,2022,7,Latin America,Water Stewardship,82.1,69.2,91.1,0.23,57505.0,10
2022-07-01,2022,7,Latin America,Waste Management,81.7,70.6,95.0,0.23,71522.0,5
2022-07-01,2022,7,Latin America,Supply Chain,77.0,60.1,83.9,0.09,68222.0,10
2022-07-01,2022,7,Latin America,Employee Wellbeing,85.9,75.5,95.0,0.24,68802.0,5
2022-07-01,2022,7,Latin America,Community Impact,76.1,65.1,90.9,-0.06,25737.0,11
2022-07-01,2022,7,Latin America,Governance,83.0,82.8,95.0,0.16,25216.0,5
2022-07-01,2022,7,Latin America,Innovation,71.8,67.4,91.0,0.34,37134.0,10
2022-07-01,2022,7,Middle East & Africa,Carbon Footprint,73.8,66.2,89.7,0.26,30537.0,9
2022-07-01,2022,7,Middle East & Africa,Water Stewardship,74.1,67.6,94.2,0.25,64385.0,10
2022-07-01,2022,7,Middle East & Africa,Waste Management,84.4,71.7,95.0,0.1,39505.0,3
2022-07-01,2022,7,Middle East & Africa,Supply Chain,67.9,56.3,83.1,0.32,35749.0,11
2022-07-01,2022,7,Middle East & Africa,Employee Wellbeing,85.5,78.4,95.0,0.14,75743.0,7
2022-07-01,2022,7,Middle East & Africa,Community Impact,76.1,63.8,83.8,0.22,81972.0,11
2022-07-01,2022,7,Middle East & Africa,Governance,85.9,79.6,95.0,0.3,28981.0,11
2022-07-01,2022,7,Middle East & Africa,Innovation,74.8,67.1,87.5,0.17,28321.0,8
2022-08-01,2022,8,North America,Carbon Footprint,72.5,66.8,81.7,0.22,69183.0,6
2022-08-01,2022,8,North America,Water Stewardship,78.7,67.9,92.4,0.23,54131.0,7
2022-08-01,2022,8,North America,Waste Management,76.6,74.6,90.5,0.2,34615.0,5
2022-08-01,2022,8,North America,Supply Chain,68.7,59.3,86.2,0.33,58270.0,3
2022-08-01,2022,8,North America,Employee Wellbeing,88.1,76.5,95.0,0.28,62817.0,10
2022-08-01,2022,8,North America,Community Impact,80.5,63.8,91.4,0.27,64611.0,3
2022-08-01,2022,8,North America,Governance,90.6,79.7,95.0,0.05,46416.0,3
2022-08-01,2022,8,North America,Innovation,74.1,65.3,93.2,0.19,55937.0,8
2022-08-01,2022,8,Europe,Carbon Footprint,82.6,63.6,85.0,0.23,53650.0,10
2022-08-01,2022,8,Europe,Water Stewardship,86.2,70.5,92.7,0.2,54740.0,3
