Date,Year,Month,Quarter,Region,Facility_ID,Facility_Type,Scope1_Emissions_Tonnes,Scope2_Emissions_Tonnes,Scope3_Emissions_Tonnes,Total_Emissions_Tonnes,Carbon_Intensity_Tonnes_per_M_Revenue,Water_Usage_m3,Water_Efficiency_Score,Water_Cost_USD,Total_Energy_Consumption_kWh,Renewable_Energy_kWh,Renewable_Energy_Percentage,Energy_Cost_USD,Total_Waste_Tonnes,Recycled_Waste_Tonnes,Waste_Diversion_Rate_Pct,Waste_Management_Cost_USD,Recycling_Revenue_USD,Employee_Count,Green_Commute_Adoption_Pct,Employee_Commute_Emissions_Tonnes,Employee_Sustainability_Training_Hours,Revenue_Millions_USD,Sustainability_Investment_USD,Sustainability_Cost_Savings_USD,Carbon_Offset_Investment_USD,ESG_Environmental_Score,ESG_Social_Score,ESG_Governance_Score,ESG_Overall_Score,Supply_Chain_Assessment_Pct,High_Risk_Suppliers_Pct,Supply_Chain_Emissions_Tonnes,ISO14001_Certified,LEED_Certification_Level,Regulatory_Compliance_Score
2022-01-01,2022,1,Q1,Europe,EU_Plant_004,Plant,43.84,61.38,70.15,175.37,0.363,2436.0,92.9,9587.0,3095.0,1723.0,55.7,376.0,43.84,31.25,71.3,7403.0,958.0,201,43.8,24.12,342.0,483.75,38308.0,21423.0,12779.0,72.4,75.8,83.8,77.3,69.0,25.0,52.61,1,Gold,86.5
2022-01-01,2022,1,Q1,Europe,EU_Office_005,Office,6.18,8.65,10.0,24.82,0.369,790.0,88.1,3130.0,436.0,184.0,42.2,64.0,7.9,5.73,72.5,1305.0,230.0,161,49.9,19.32,270.0,67.19,5451.0,2665.0,2013.0,75.1,73.2,86.1,78.1,69.0,25.0,7.5,1,Silver,90.0
2022-01-01,2022,1,Q1,Europe,EU_Plant_006,Plant,39.84,55.78,63.75,159.37,0.329,2213.0,86.6,5877.0,2812.0,1279.0,45.5,421.0,39.84,29.73,74.6,4919.0,1070.0,264,38.5,31.68,594.0,483.75,30556.0,16712.0,12831.0,78.4,78.5,86.6,81.1,73.1,25.0,47.81,1,None,89.9
2022-01-01,2022,1,Q1,Europe,EU_Office_007,Office,5.95,8.33,10.0,24.27,0.361,761.0,82.2,2955.0,420.0,194.0,46.2,74.0,7.61,5.52,72.5,1364.0,221.0,153,40.9,18.36,327.0,67.19,4440.0,2904.0,1173.0,68.1,75.7,82.1,75.3,63.0,25.0,7.5,1,Certified,90.6
2022-01-01,2022,1,Q1,Europe,EU_Warehouse_008,Warehouse,14.61,20.46,23.38,58.44,0.335,360.0,84.9,1036.0,1031.0,463.0,44.9,183.0,13.49,9.71,72.0,1628.0,431.0,77,47.6,9.24,121.0,174.69,12264.0,6575.0,4713.0,66.7,74.7,85.8,75.7,73.5,25.0,17.53,1,Platinum,86.8
2022-01-01,2022,1,Q1,Asia Pacific,AP_Plant_001,Plant,56.17,78.64,89.88,224.7,0.464,3121.0,81.1,9274.0,2931.0,1392.0,47.5,385.0,56.17,42.17,75.1,8304.0,1352.0,286,52.7,34.32,713.0,483.75,44531.0,25577.0,10810.0,73.5,75.6,89.4,79.5,66.0,25.0,67.41,1,Platinum,89.0
2022-01-01,2022,1,Q1,Asia Pacific,AP_Office_002,Office,9.18,12.85,14.68,36.7,0.546,1175.0,89.8,4873.0,479.0,194.0,40.5,82.0,11.75,8.61,73.3,2000.0,296.0,157,34.4,18.84,346.0,67.19,7976.0,4441.0,2053.0,77.3,78.5,84.1,80.0,61.4,25.0,11.01,0,Gold,92.1
2022-01-01,2022,1,Q1,Asia Pacific,AP_Plant_003,Plant,55.66,77.92,89.06,222.64,0.46,3092.0,85.2,8328.0,2904.0,1397.0,48.1,465.0,55.66,40.99,73.6,8417.0,1658.0,223,43.9,26.76,532.0,483.75,48572.0,25200.0,17608.0,72.8,71.6,81.9,75.5,76.4,25.0,66.79,1,Certified,87.3
2022-01-01,2022,1,Q1,Asia Pacific,AP_Warehouse_004,Warehouse,22.04,30.86,35.27,88.16,0.505,543.0,88.2,1722.0,1150.0,462.0,40.2,181.0,20.35,16.09,79.1,3494.0,708.0,85,53.5,10.2,149.0,174.69,17253.0,9533.0,7235.0,63.0,74.2,86.4,74.5,77.5,25.0,26.45,1,None,88.2
2022-01-01,2022,1,Q1,Asia Pacific,AP_Office_005,Office,8.02,11.23,12.84,32.09,0.478,1027.0,84.8,4133.0,419.0,187.0,44.6,62.0,10.27,7.07,68.8,1644.0,201.0,130,50.4,15.6,237.0,67.19,5874.0,3173.0,1497.0,71.5,72.2,84.0,75.9,64.7,25.0,9.63,0,None,87.7
2022-01-01,2022,1,Q1,Asia Pacific,AP_Plant_006,Plant,49.87,69.82,79.8,199.49,0.412,2771.0,82.2,7796.0,2602.0,1427.0,54.8,345.0,49.87,35.61,71.4,7093.0,1235.0,250,39.4,30.0,638.0,483.75,42879.0,24462.0,11921.0,70.9,74.7,84.6,76.7,73.1,25.0,59.85,1,Silver,90.3
2022-01-01,2022,1,Q1,Asia Pacific,AP_Office_007,Office,8.17,11.44,13.08,32.69,0.487,1046.0,86.6,2828.0,426.0,216.0,50.6,74.0,10.46,8.81,84.2,1628.0,340.0,148,37.4,17.76,421.0,67.19,6580.0,3343.0,2123.0,67.0,70.7,83.7,73.8,64.6,25.0,9.81,0,Certified,92.6
2022-01-01,2022,1,Q1,Asia Pacific,AP_Plant_008,Plant,58.63,82.08,93.81,234.52,0.485,3257.0,79.8,9176.0,3059.0,1243.0,40.6,419.0,58.63,43.64,74.4,7645.0,1874.0,215,52.4,25.8,352.0,483.75,45554.0,29220.0,15474.0,77.6,70.8,86.1,78.2,66.7,25.0,70.36,1,Platinum,86.5
2022-01-01,2022,1,Q1,Asia Pacific,AP_Warehouse_009,Warehouse,19.61,27.45,31.37,78.44,0.449,483.0,80.5,1472.0,1023.0,499.0,48.8,149.0,18.1,13.26,73.3,2723.0,396.0,84,37.2,10.08,142.0,174.69,17034.0,8762.0,5445.0,63.3,76.6,83.7,74.5,72.9,25.0,23.53,0,Certified,87.8
2022-01-01,2022,1,Q1,Asia Pacific,AP_Office_010,Office,6.79,9.51,10.87,27.16,0.404,869.0,81.7,2689.0,354.0,144.0,40.7,62.0,8.69,6.53,75.1,1476.0,289.0,144,53.1,17.28,246.0,67.19,5166.0,3136.0,2016.0,67.7,76.6,87.9,77.4,57.6,25.0,8.15,1,None,85.6
2022-01-01,2022,1,Q1,Asia Pacific,AP_Plant_011,Plant,56.11,78.56,89.78,224.45,0.464,3117.0,84.2,9695.0,2928.0,1355.0,46.3,505.0,56.11,44.05,78.5,8055.0,1821.0,258,41.7,30.96,580.0,483.75,42212.0,22425.0,13485.0,71.6,73.7,85.6,77.0,80.4,25.0,67.34,1,None,88.1
2022-01-01,2022,1,Q1,Asia Pacific,AP_Office_012,Office,9.02,12.63,14.43,36.09,0.537,1155.0,86.6,4104.0,471.0,231.0,49.1,72.0,11.55,8.59,74.3,2005.0,350.0,116,46.9,13.92,204.0,67.19,6664.0,4446.0,2074.0,73.1,70.6,87.3,77.0,71.7,25.0,10.83,0,Silver,86.8
2022-01-01,2022,1,Q1,Asia Pacific,AP_Plant_013,Plant,56.03,78.44,89.65,224.12,0.463,3113.0,82.6,8995.0,2923.0,1364.0,46.7,477.0,56.03,42.83,76.4,9144.0,1620.0,275,40.9,33.0,737.0,483.75,41333.0,26982.0,14951.0,68.9,72.1,84.1,75.0,71.9,25.0,67.24,0,None,82.7
2022-01-01,2022,1,Q1,Asia Pacific,AP_Warehouse_014,Warehouse,23.09,32.33,36.95,92.38,0.529,568.0,88.3,2105.0,1205.0,559.0,46.4,156.0,21.32,15.95,74.8,3295.0,592.0,70,64.6,8.4,155.0,174.69,16695.0,11193.0,6878.0,70.5,75.3,86.5,77.4,72.4,25.0,27.71,1,Gold,88.7
2022-01-01,2022,1,Q1,Asia Pacific,AP_Office_015,Office,6.96,9.75,11.14,27.85,0.414,891.0,84.4,2753.0,363.0,183.0,50.5,51.0,8.91,6.7,75.2,1464.0,228.0,124,57.2,14.88,233.0,67.19,5074.0,2926.0,1757.0,66.0,70.0,86.6,74.2,70.4,25.0,8.35,0,None,79.9
2022-01-01,2022,1,Q1,Latin America,LA_Plant_001,Plant,45.71,63.99,73.13,182.83,0.378,2539.0,83.8,7254.0,2887.0,1566.0,54.2,502.0,45.71,35.23,77.1,6047.0,1015.0,278,42.8,33.36,434.0,483.75,33533.0,22836.0,11679.0,65.6,82.7,85.1,77.8,70.1,25.0,54.85,1,None,87.9
2022-01-01,2022,1,Q1,Latin America,LA_Office_002,Office,6.22,8.71,10.0,24.93,0.371,796.0,92.5,2025.0,393.0,198.0,50.5,51.0,7.96,5.34,67.0,1297.0,204.0,168,28.4,20.16,260.0,67.19,4642.0,2504.0,1343.0,64.4,72.7,82.8,73.3,78.8,25.0,7.5,0,Silver,86.4
2022-01-01,2022,1,Q1,Latin America,LA_Warehouse_003,Warehouse,17.41,24.37,27.85,69.63,0.399,428.0,78.9,1081.0,1099.0,482.0,43.8,138.0,16.07,12.4,77.1,2129.0,316.0,77,50.7,9.24,139.0,174.69,14846.0,7445.0,4757.0,71.8,71.8,86.2,76.6,73.0,25.0,20.89,1,Gold,87.1
2022-01-01,2022,1,Q1,Middle East & Africa,MEA_Plant_001,Plant,48.14,67.39,77.02,192.55,0.398,2674.0,90.2,10158.0,2751.0,1044.0,38.0,353.0,48.14,35.09,72.9,8285.0,1219.0,211,49.8,25.32,637.0,483.75,39467.0,20658.0,14826.0,61.7,80.1,85.4,75.7,69.5,25.0,57.77,1,None,88.9
2022-01-01,2022,1,Q1,Middle East & Africa,MEA_Office_002,Office,5.85,8.19,10.0,24.04,0.358,749.0,78.3,2700.0,334.0,153.0,45.9,57.0,7.49,5.78,77.2,991.0,146.0,147,45.1,17.64,255.0,67.19,4491.0,2480.0,1947.0,71.4,75.6,83.0,76.7,72.0,25.0,7.5,1,Certified,82.9
2022-02-01,2022,2,Q1,North America,NA_Plant_001,Plant,58.83,82.36,94.13,235.32,0.454,3268.0,90.4,9775.0,3559.0,1388.0,39.0,503.0,59.31,41.33,69.7,9677.0,1279.0,234,45.5,27.79,576.0,518.81,43923.0,27566.0,15071.0,71.0,72.9,83.9,76.0,63.3,24.8,70.6,1,Gold,85.6
2022-02-01,2022,2,Q1,North America,NA_Office_002,Office,7.49,10.49,11.99,29.98,0.416,959.0,82.4,2800.0,453.0,264.0,58.2,77.0,9.67,7.31,75.6,1625.0,284.0,148,54.5,17.58,290.0,72.06,5524.0,2916.0,2057.0,67.4,75.1,88.7,77.1,67.2,24.8,8.99,1,None,93.6
2022-02-01,2022,2,Q1,North America,NA_Warehouse_003,Warehouse,18.08,25.31,28.92,72.3,0.386,445.0,88.4,1280.0,1093.0,424.0,38.7,196.0,16.82,12.74,75.7,2972.0,329.0,83,50.2,9.86,224.0,187.35,15347.0,8298.0,5930.0,73.6,76.6,85.0,78.4,62.0,24.8,21.69,0,Certified,85.0
2022-02-01,2022,2,Q1,North America,NA_Plant_004,Plant,55.74,78.04,89.19,222.97,0.43,3097.0,85.1,9531.0,3372.0,1536.0,45.5,551.0,56.2,43.41,77.2,6964.0,1359.0,250,52.8,29.69,604.0,518.81,40465.0,25171.0,17086.0,68.2,73.9,84.5,75.5,71.4,24.8,66.89,1,Certified,86.8
2022-02-01,2022,2,Q1,North America,NA_Office_005,Office,7.19,10.07,11.51,28.77,0.399,921.0,89.8,2675.0,435.0,221.0,50.7,55.0,9.28,7.0,75.5,1311.0,215.0,142,56.6,16.87,285.0,72.06,5730.0,3274.0,1563.0,68.5,79.6,88.3,78.8,67.7,24.8,8.63,0,None,88.1
2022-02-01,2022,2,Q1,North America,NA_Plant_006,Plant,51.61,72.26,82.58,206.45,0.398,2867.0,93.1,8293.0,3122.0,1571.0,50.3,408.0,52.04,37.57,72.2,6933.0,1079.0,244,44.9,28.98,689.0,518.81,42227.0,20647.0,12182.0,73.0,75.7,86.1,78.3,71.8,24.8,61.94,0,Gold,95.6
2022-02-01,2022,2,Q1,North America,NA_Warehouse_007,Warehouse,20.8,29.12,33.28,83.19,0.444,512.0,82.5,2053.0,1258.0,601.0,47.8,223.0,19.36,14.07,72.7,3324.0,580.0,75,50.4,8.91,196.0,187.35,15720.0,9244.0,5577.0,76.4,80.6,83.9,80.3,68.4,24.8,24.96,0,Certified,84.1
2022-02-01,2022,2,Q1,North America,NA_Office_008,Office,6.49,9.09,10.39,25.97,0.36,831.0,85.1,2455.0,393.0,168.0,42.8,68.0,8.38,6.75,80.6,1406.0,258.0,153,45.2,18.17,451.0,72.06,5174.0,2929.0,2070.0,75.0,73.7,87.2,78.7,73.7,24.8,7.79,1,Silver,93.7
2022-02-01,2022,2,Q1,North America,NA_Plant_009,Plant,55.81,78.14,89.3,223.24,0.43,3101.0,91.2,7785.0,3376.0,1643.0,48.7,463.0,56.27,44.65,79.4,8835.0,1992.0,245,46.5,29.1,631.0,518.81,43176.0,26188.0,12366.0,71.7,74.0,85.2,77.0,76.7,24.8,66.97,1,Certified,87.3
2022-02-01,2022,2,Q1,North America,NA_Office_010,Office,7.16,10.02,11.45,28.63,0.397,916.0,86.6,2395.0,433.0,195.0,44.9,67.0,9.24,7.38,79.9,1300.0,276.0,154,50.2,18.29,243.0,72.06,5271.0,3525.0,2287.0,71.0,73.9,85.5,76.8,75.7,24.8,8.59,1,Gold,85.1
2022-02-01,2022,2,Q1,North America,NA_Plant_011,Plant,47.61,66.66,76.18,190.45,0.367,2645.0,87.2,9732.0,2880.0,1298.0,45.1,384.0,48.0,38.36,79.9,5998.0,1481.0,236,60.4,28.03,617.0,518.81,36366.0,23790.0,10652.0,64.5,68.6,86.0,73.0,67.8,24.8,57.14,1,None,90.2
2022-02-01,2022,2,Q1,North America,NA_Warehouse_012,Warehouse,18.03,25.24,28.85,72.12,0.385,444.0,94.5,1840.0,1091.0,412.0,37.8,143.0,16.78,12.08,72.0,2888.0,490.0,74,44.9,8.79,208.0,187.35,15562.0,7349.0,5683.0,71.2,71.4,88.0,76.9,69.9,24.8,21.64,1,Certified,91.6
2022-02-01,2022,2,Q1,Europe,EU_Plant_001,Plant,43.71,61.19,69.93,174.84,0.337,2428.0,88.9,7352.0,3111.0,1636.0,52.6,458.0,44.07,33.02,74.9,5319.0,873.0,233,59.7,27.68,505.0,518.81,32873.0,19188.0,11224.0,70.8,73.2,86.8,76.9,67.0,24.8,52.45,1,None,90.6
2022-02-01,2022,2,Q1,Europe,EU_Office_002,Office,6.21,8.69,10.0,24.9,0.346,794.0,80.5,2031.0,442.0,201.0,45.4,55.0,8.01,6.01,75.1,1152.0,166.0,132,57.3,15.68,325.0,72.06,5039.0,2372.0,1807.0,73.8,75.8,81.1,76.9,69.1,24.8,7.5,1,None,86.2
2022-02-01,2022,2,Q1,Europe,EU_Warehouse_003,Warehouse,17.65,24.7,28.23,70.58,0.377,434.0,89.9,1420.0,1256.0,530.0,42.2,199.0,16.42,12.38,75.4,2489.0,491.0,85,48.5,10.1,139.0,187.35,14721.0,8403.0,3347.0,74.5,73.6,87.8,78.6,71.3,24.8,21.17,0,None,87.2
2022-02-01,2022,2,Q1,Europe,EU_Plant_004,Plant,44.68,62.56,71.5,178.74,0.345,2482.0,87.9,6511.0,3180.0,1440.0,45.3,387.0,45.05,33.11,73.5,6103.0,1134.0,303,59.1,35.99,902.0,518.81,33807.0,22323.0,13242.0,72.0,75.3,85.4,77.6,73.4,24.8,53.62,1,Certified,85.1
2022-02-01,2022,2,Q1,Europe,EU_Office_005,Office,5.22,7.31,10.0,22.54,0.313,669.0,78.0,2709.0,372.0,188.0,50.6,49.0,6.74,5.12,75.9,1061.0,192.0,175,41.6,20.79,481.0,72.06,4495.0,2732.0,1133.0,69.6,77.9,86.5,78.0,62.4,24.8,7.5,1,Gold,86.6
2022-02-01,2022,2,Q1,Europe,EU_Plant_006,Plant,39.99,55.98,63.98,159.95,0.308,2222.0,85.2,8475.0,2846.0,1370.0,48.1,364.0,40.32,31.74,78.7,7184.0,1081.0,240,51.5,28.51,456.0,518.81,31090.0,18041.0,7668.0,58.9,74.1,82.9,72.0,63.8,24.8,47.99,0,Certified,91.7
2022-02-01,2022,2,Q1,Europe,EU_Office_007,Office,6.55,9.17,10.47,26.19,0.363,838.0,82.8,2929.0,466.0,202.0,43.3,80.0,8.45,5.96,70.5,1118.0,162.0,172,52.1,20.43,337.0,72.06,4889.0,2619.0,1238.0,69.0,81.4,85.9,78.8,72.5,24.8,7.86,1,Gold,90.4
2022-02-01,2022,2,Q1,Europe,EU_Warehouse_008,Warehouse,15.35,21.5,24.57,61.42,0.328,378.0,85.7,1568.0,1093.0,546.0,50.0,137.0,14.29,9.89,69.2,2291.0,335.0,82,53.3,9.74,244.0,187.35,12256.0,7064.0,3199.0,58.7,78.5,83.1,73.4,73.4,24.8,18.43,1,Silver,85.0
2022-02-01,2022,2,Q1,Asia Pacific,AP_Plant_001,Plant,58.87,82.42,94.19,235.47,0.454,3270.0,87.1,10366.0,3097.0,1397.0,45.1,493.0,59.35,48.91,82.4,7502.0,1866.0,255,53.7,30.29,816.0,518.81,42672.0,28946.0,11050.0,74.7,78.8,86.4,80.0,64.6,24.8,70.64,1,Certified,89.2
2022-02-01,2022,2,Q1,Asia Pacific,AP_Office_002,Office,8.39,11.75,13.43,33.58,0.466,1075.0,93.4,3681.0,442.0,195.0,44.2,53.0,10.83,8.29,76.6,1511.0,268.0,164,54.8,19.48,356.0,72.06,7129.0,3958.0,2445.0,65.3,74.3,87.9,75.9,69.6,24.8,10.07,1,Certified,88.6
2022-02-01,2022,2,Q1,Asia Pacific,AP_Plant_003,Plant,54.29,76.01,86.86,217.16,0.419,3016.0,78.7,10515.0,2856.0,1441.0,50.5,434.0,54.74,43.86,80.1,8565.0,1767.0,232,63.3,27.56,669.0,518.81,42388.0,26255.0,16010.0,60.3,82.1,82.4,74.9,62.1,24.8,65.15,1,None,90.5
2022-02-01,2022,2,Q1,Asia Pacific,AP_Warehouse_004,Warehouse,21.53,30.14,34.45,86.13,0.46,530.0,85.8,1970.0,1133.0,472.0,41.6,154.0,20.04,15.03,75.0,2902.0,412.0,77,31.8,9.15,139.0,187.35,16484.0,8976.0,6222.0,69.9,75.7,87.9,77.8,74.9,24.8,25.84,0,Certified,83.5
2022-02-01,2022,2,Q1,Asia Pacific,AP_Office_005,Office,7.57,10.6,12.11,30.28,0.42,969.0,86.9,3772.0,398.0,190.0,47.6,69.0,9.77,6.88,70.4,1306.0,201.0,149,49.7,17.7,378.0,72.06,6427.0,3377.0,1861.0,70.8,73.9,85.4,76.7,73.0,24.8,9.08,1,Gold,84.5
2022-02-01,2022,2,Q1,Asia Pacific,AP_Plant_006,Plant,53.98,75.57,86.36,215.91,0.416,2999.0,81.7,8602.0,2839.0,1247.0,43.9,357.0,54.42,42.39,77.9,6608.0,1604.0,281,39.9,33.38,712.0,518.81,44252.0,23438.0,14437.0,71.4,71.6,85.8,76.3,73.5,24.8,64.77,0,None,89.4
2022-02-01,2022,2,Q1,Asia Pacific,AP_Office_007,Office,7.98,11.18,12.77,31.94,0.443,1022.0,98.2,2704.0,420.0,225.0,53.6,73.0,10.3,7.5,72.8,1355.0,236.0,175,40.9,20.79,330.0,72.06,6633.0,3984.0,1891.0,72.5,80.1,84.4,79.0,69.3,24.8,9.58,0,Certified,88.9
2022-02-01,2022,2,Q1,Asia Pacific,AP_Plant_008,Plant,48.97,68.56,78.36,195.89,0.378,2721.0,87.0,9402.0,2576.0,913.0,35.4,457.0,49.37,38.37,77.7,6444.0,1489.0,259,55.1,30.76,477.0,518.81,43050.0,22499.0,13014.0,65.4,80.2,86.0,77.2,66.8,24.8,58.77,0,Certified,88.0
2022-02-01,2022,2,Q1,Asia Pacific,AP_Warehouse_009,Warehouse,19.4,27.16,31.04,77.61,0.414,478.0,91.5,1266.0,1021.0,495.0,48.5,169.0,18.06,14.17,78.5,2305.0,588.0,71,42.8,8.43,201.0,187.35,17051.0,9531.0,5693.0,75.1,75.6,89.8,80.2,72.3,24.8,23.28,0,None,85.8
2022-02-01,2022,2,Q1,Asia Pacific,AP_Office_010,Office,6.98,9.78,11.17,27.93,0.388,894.0,76.1,3553.0,367.0,147.0,39.9,62.0,9.01,6.91,76.7,1509.0,215.0,117,48.4,13.9,192.0,72.06,6055.0,3070.0,1707.0,80.2,75.4,85.0,80.2,74.9,24.8,8.38,0,Silver,87.3
2022-02-01,2022,2,Q1,Asia Pacific,AP_Plant_011,Plant,58.16,81.42,93.06,232.64,0.448,3231.0,85.3,10097.0,3059.0,1462.0,47.8,380.0,58.64,46.01,78.5,7127.0,1275.0,249,51.8,29.58,781.0,518.81,47516.0,27438.0,15582.0,70.3,71.3,83.0,74.9,68.8,24.8,69.79,1,Certified,88.4
2022-02-01,2022,2,Q1,Asia Pacific,AP_Office_012,Office,6.46,9.05,10.34,25.86,0.359,827.0,80.6,3452.0,340.0,134.0,39.4,46.0,8.34,6.24,74.8,1072.0,171.0,158,57.6,18.77,318.0,72.06,4811.0,2504.0,1268.0,75.1,74.6,88.1,79.3,71.0,24.8,7.76,1,None,87.2
2022-02-01,2022,2,Q1,Asia Pacific,AP_Plant_013,Plant,58.93,82.5,94.28,235.71,0.454,3274.0,85.3,12790.0,3100.0,1592.0,51.4,508.0,59.41,45.46,76.5,9872.0,1146.0,273,33.4,32.43,603.0,518.81,47397.0,25405.0,15145.0,64.8,74.5,82.8,74.0,61.3,24.8,70.71,0,None,86.6
