Date,Year,Month,Project_Type,Investment_USD,CO2_Offset_Tonnes,Cost_per_Tonne_CO2_USD,Project_Count,Geographic_Region,Certification_Standard,Project_Status
2023-04-01,2023,4,Reforestation,99819.0,3564.95,25.0,3,Asia Pacific,Gold Standard,Completed
2023-04-01,2023,4,Renewable Energy,200040.0,4445.33,50.0,4,Middle East & Africa,Gold Standard,Active
2023-04-01,2023,4,Methane Capture,122685.0,3505.29,27.0,4,North America,VCS,Active
2023-04-01,2023,4,Soil Carbon,122325.0,3822.66,32.0,4,Latin America,VCS,Active
2023-04-01,2023,4,Direct Air Capture,422323.0,2346.24,192.0,2,Europe,VCS,In Development
2023-05-01,2023,5,Reforestation,125120.0,4468.57,33.0,3,Middle East & Africa,Gold Standard,Active
2023-05-01,2023,5,Renewable Energy,178213.0,3960.29,44.0,4,Asia Pacific,VCS,Completed
2023-05-01,2023,5,Methane Capture,73535.0,2101.0,37.0,4,Latin America,VCS,In Development
2023-05-01,2023,5,Soil Carbon,104415.0,3262.98,32.0,2,Asia Pacific,Gold Standard,Active
2023-05-01,2023,5,Direct Air Capture,333264.0,1851.47,154.0,3,Europe,VCS,Active
2023-06-01,2023,6,Reforestation,87975.0,3141.95,25.0,3,Asia Pacific,VCS,Active
2023-06-01,2023,6,Renewable Energy,179998.0,3999.96,53.0,4,North America,Gold Standard,In Development
2023-06-01,2023,6,Methane Capture,107297.0,3065.64,41.0,2,Europe,VCS,Active
2023-06-01,2023,6,Soil Carbon,73472.0,2296.0,31.0,2,Latin America,VCS,In Development
2023-06-01,2023,6,Direct Air Capture,358888.0,1993.82,182.0,3,Asia Pacific,VCS,Active
2023-07-01,2023,7,Reforestation,76969.0,2748.89,26.0,1,North America,CAR,Completed
2023-07-01,2023,7,Renewable Energy,170923.0,3798.29,50.0,2,North America,VCS,Completed
2023-07-01,2023,7,Methane Capture,189482.0,5413.76,34.0,1,Middle East & Africa,VCS,Completed
2023-07-01,2023,7,Soil Carbon,60836.0,1901.13,32.0,2,Latin America,VCS,Active
2023-07-01,2023,7,Direct Air Capture,418689.0,2326.05,190.0,4,Middle East & Africa,VCS,Completed
2023-08-01,2023,8,Reforestation,133582.0,4770.8,29.0,3,Europe,Gold Standard,Completed
2023-08-01,2023,8,Renewable Energy,174001.0,3866.68,43.0,3,Middle East & Africa,VCS,Active
2023-08-01,2023,8,Methane Capture,97525.0,2786.42,35.0,1,Middle East & Africa,Gold Standard,Completed
2023-08-01,2023,8,Soil Carbon,100559.0,3142.46,34.0,4,Latin America,Gold Standard,Completed
2023-08-01,2023,8,Direct Air Capture,187468.0,1041.49,153.0,2,Europe,VCS,Completed
2023-09-01,2023,9,Reforestation,135207.0,4828.83,32.0,2,Latin America,Gold Standard,Active
2023-09-01,2023,9,Renewable Energy,103617.0,2302.59,41.0,1,Latin America,CDM,Completed
2023-09-01,2023,9,Methane Capture,165644.0,4732.69,34.0,1,Middle East & Africa,VCS,In Development
2023-09-01,2023,9,Soil Carbon,143507.0,4484.61,29.0,3,Latin America,VCS,In Development
2023-09-01,2023,9,Direct Air Capture,207530.0,1152.94,191.0,4,Asia Pacific,VCS,In Development
2023-10-01,2023,10,Reforestation,120743.0,4312.26,29.0,1,Europe,VCS,Active
2023-10-01,2023,10,Renewable Energy,96544.0,2145.41,43.0,1,North America,Gold Standard,Active
2023-10-01,2023,10,Methane Capture,93042.0,2658.35,40.0,4,Europe,CAR,Active
2023-10-01,2023,10,Soil Carbon,93376.0,2917.98,38.0,3,Asia Pacific,Gold Standard,Completed
2023-10-01,2023,10,Direct Air Capture,356766.0,1982.03,194.0,2,Middle East & Africa,Gold Standard,Active
2023-11-01,2023,11,Reforestation,110560.0,3948.57,26.0,4,Latin America,VCS,Active
2023-11-01,2023,11,Renewable Energy,172914.0,3842.54,49.0,3,Asia Pacific,VCS,Active
2023-11-01,2023,11,Methane Capture,109782.0,3136.62,36.0,4,Latin America,VCS,Active
2023-11-01,2023,11,Soil Carbon,134858.0,4214.33,31.0,4,Asia Pacific,VCS,Active
2023-11-01,2023,11,Direct Air Capture,354647.0,1970.26,199.0,2,Asia Pacific,VCS,Completed
2023-12-01,2023,12,Reforestation,166261.0,5937.88,30.0,1,North America,CAR,Completed
2023-12-01,2023,12,Renewable Energy,193232.0,4294.04,44.0,1,North America,Gold Standard,Completed
2023-12-01,2023,12,Methane Capture,181604.0,5188.69,35.0,2,Europe,Gold Standard,Completed
2023-12-01,2023,12,Soil Carbon,100540.0,3141.87,34.0,1,North America,VCS,Completed
2023-12-01,2023,12,Direct Air Capture,519405.0,2885.58,183.0,3,North America,VCS,Completed
2024-01-01,2024,1,Reforestation,105894.0,3781.94,25.0,2,Middle East & Africa,Gold Standard,Active
2024-01-01,2024,1,Renewable Energy,203632.0,4525.15,45.0,2,North America,CDM,Active
2024-01-01,2024,1,Methane Capture,173551.0,4958.6,33.0,1,Latin America,CDM,Active
2024-01-01,2024,1,Soil Carbon,90045.0,2813.89,28.0,2,Europe,CAR,Active
2024-01-01,2024,1,Direct Air Capture,355875.0,1977.08,172.0,3,Europe,Gold Standard,In Development
2024-02-01,2024,2,Reforestation,112810.0,4028.94,32.0,1,Europe,Gold Standard,Active
2024-02-01,2024,2,Renewable Energy,246330.0,5474.0,47.0,3,Middle East & Africa,CDM,Active
2024-02-01,2024,2,Methane Capture,129205.0,3691.57,39.0,1,North America,VCS,Active
2024-02-01,2024,2,Soil Carbon,97870.0,3058.42,37.0,4,Asia Pacific,VCS,In Development
2024-02-01,2024,2,Direct Air Capture,475889.0,2643.83,162.0,4,Latin America,Gold Standard,Active
2024-03-01,2024,3,Reforestation,106483.0,3802.95,33.0,1,Asia Pacific,Gold Standard,Active
2024-03-01,2024,3,Renewable Energy,100482.0,2232.94,45.0,2,Europe,CAR,Active
2024-03-01,2024,3,Methane Capture,158452.0,4527.2,36.0,2,North America,VCS,Active
2024-03-01,2024,3,Soil Carbon,148910.0,4653.45,29.0,3,Middle East & Africa,Gold Standard,Active
2024-03-01,2024,3,Direct Air Capture,489614.0,2720.08,150.0,1,North America,VCS,Active
2024-04-01,2024,4,Reforestation,111601.0,3985.74,26.0,3,Asia Pacific,VCS,Completed
2024-04-01,2024,4,Renewable Energy,214361.0,4763.58,40.0,1,North America,CDM,Completed
2024-04-01,2024,4,Methane Capture,179627.0,5132.2,35.0,3,Latin America,CDM,Active
2024-04-01,2024,4,Soil Carbon,72913.0,2278.53,37.0,3,Europe,Gold Standard,Completed
2024-04-01,2024,4,Direct Air Capture,427340.0,2374.11,189.0,2,Middle East & Africa,CAR,Active
2024-05-01,2024,5,Reforestation,64382.0,2299.37,24.0,4,Asia Pacific,CAR,Completed
2024-05-01,2024,5,Renewable Energy,210110.0,4669.11,41.0,1,Latin America,CAR,Active
2024-05-01,2024,5,Methane Capture,130524.0,3729.26,35.0,2,Latin America,CAR,In Development
2024-05-01,2024,5,Soil Carbon,81328.0,2541.5,37.0,3,Asia Pacific,VCS,Active
2024-05-01,2024,5,Direct Air Capture,559032.0,3105.73,186.0,1,Middle East & Africa,CAR,Active
2024-06-01,2024,6,Reforestation,110166.0,3934.5,23.0,4,Middle East & Africa,VCS,Active
2024-06-01,2024,6,Renewable Energy,125543.0,2789.85,48.0,2,Europe,Gold Standard,Active
2024-06-01,2024,6,Methane Capture,131219.0,3749.1,37.0,4,Asia Pacific,VCS,Active
2024-06-01,2024,6,Soil Carbon,150934.0,4716.67,33.0,1,Europe,Gold Standard,Completed
2024-06-01,2024,6,Direct Air Capture,563163.0,3128.69,162.0,3,Middle East & Africa,Gold Standard,Active
2024-07-01,2024,7,Reforestation,97199.0,3471.38,31.0,1,Middle East & Africa,Gold Standard,In Development
2024-07-01,2024,7,Renewable Energy,188250.0,4183.34,45.0,2,Asia Pacific,Gold Standard,In Development
2024-07-01,2024,7,Methane Capture,133698.0,3819.94,32.0,4,Latin America,Gold Standard,Completed
2024-07-01,2024,7,Soil Carbon,153208.0,4787.75,31.0,1,Middle East & Africa,CAR,Active
2024-07-01,2024,7,Direct Air Capture,416417.0,2313.43,184.0,2,Middle East & Africa,CAR,Active
2024-08-01,2024,8,Reforestation,172731.0,6168.97,26.0,1,Europe,CAR,Completed
2024-08-01,2024,8,Renewable Energy,208023.0,4622.74,46.0,3,Asia Pacific,CDM,Completed
2024-08-01,2024,8,Methane Capture,141404.0,4040.12,34.0,1,North America,VCS,Completed
2024-08-01,2024,8,Soil Carbon,163940.0,5123.11,31.0,2,Asia Pacific,Gold Standard,Active
2024-08-01,2024,8,Direct Air Capture,589752.0,3276.4,211.0,3,Latin America,Gold Standard,Active
2024-09-01,2024,9,Reforestation,149715.0,5346.97,28.0,4,North America,VCS,Active
2024-09-01,2024,9,Renewable Energy,252273.0,5606.07,47.0,2,Middle East & Africa,CDM,Active
2024-09-01,2024,9,Methane Capture,217206.0,6205.9,30.0,4,Asia Pacific,Gold Standard,Active
2024-09-01,2024,9,Soil Carbon,118330.0,3697.82,33.0,1,North America,VCS,Active
2024-09-01,2024,9,Direct Air Capture,591920.0,3288.45,176.0,4,Asia Pacific,Gold Standard,Active
2024-10-01,2024,10,Reforestation,144557.0,5162.76,23.0,3,North America,CDM,Completed
2024-10-01,2024,10,Renewable Energy,189488.0,4210.85,53.0,4,Asia Pacific,Gold Standard,Active
2024-10-01,2024,10,Methane Capture,167039.0,4772.54,35.0,4,Asia Pacific,Gold Standard,Active
2024-10-01,2024,10,Soil Carbon,56680.0,1771.25,31.0,4,Middle East & Africa,Gold Standard,Active
2024-10-01,2024,10,Direct Air Capture,127730.0,709.61,157.0,2,Asia Pacific,VCS,Active
2024-11-01,2024,11,Reforestation,59678.0,2131.35,27.0,4,Latin America,CAR,Active
2024-11-01,2024,11,Renewable Energy,253075.0,5623.89,37.0,3,North America,Gold Standard,Completed
2024-11-01,2024,11,Methane Capture,108014.0,3086.1,34.0,4,Latin America,VCS,Completed
2024-11-01,2024,11,Soil Carbon,91469.0,2858.41,28.0,2,Middle East & Africa,VCS,Active
2024-11-01,2024,11,Direct Air Capture,361445.0,2008.03,184.0,3,Middle East & Africa,Gold Standard,Active
2024-12-01,2024,12,Reforestation,154725.0,5525.9,30.0,3,Middle East & Africa,CAR,Completed
2024-12-01,2024,12,Renewable Energy,211699.0,4704.42,35.0,3,Europe,Gold Standard,Active
2024-12-01,2024,12,Methane Capture,135182.0,3862.36,36.0,3,Europe,Gold Standard,Active
2024-12-01,2024,12,Soil Carbon,152904.0,4778.25,24.0,3,Europe,Gold Standard,Completed
2024-12-01,2024,12,Direct Air Capture,316415.0,1757.86,195.0,1,Europe,CAR,Active
